nome_produto;preco_atual;preco_antigo;link_produto;cod_ean
DESODORANTE AEROSSOL ABOVE TEEN BE POSITIVE 150ML;R$9,82;R$12,27;https://www.ultrafarma.com.br/desodorante-aerosol-above-teen-be-positive-150ml;7899674021830
DESODORANTE ANTITRANSPIRANTE AEROSOL NIVEA SENSITIVE PROTECT 150ML;R$16,66;R$18,51;https://www.ultrafarma.com.br/desodorante-aerosol-nivea-masculino-sensitive-protect-com-150ml;7791969029807
DESODORANTE ANTITRANSPIRANTE AEROSOL DOVE FEMININO GO FRESH PEPINO E CHÁ VERDE 150ML;R$19,41;R$22,83;https://www.ultrafarma.com.br/desodorante-antitranspirante-aerosol-dove-feminino-go-fresh-pepino-e-cha-verde-150ml;7506306241169
DESODORANTE AEROSSOL NIVEA MASCULINO COOL KICK 93G;R$16,64;R$18,49;https://www.ultrafarma.com.br/desodorante-aerosol-nivea-masculino-cool-kick-com-93g;7791969028831
DESODORANTE ANTITRANSPIRANTE AEROSOL SUAVE FEMININO JASMIM E COCO 150ML;R$9,44;R$11,11;https://www.ultrafarma.com.br/desodorante-antitranspirante-aerosol-suave-feminino-jasmim-e-coco-150ml;7791293035215
DESODORANTE PROTECT MAN 150ML COMPRE 2UN - GRÁTIS ESPONJA;R$19,80;R$45,00;https://www.ultrafarma.com.br/desodorante-protect-man-150ml-compre-2un-ganhe-esponja;
DESODORANTE AEROSSOL ABOVE MAXX ELEMENTS HURRICANE MASCULINO 250ML;R$13,32;R$16,65;https://www.ultrafarma.com.br/desodorante-aerossol-above-maxx-elements-hurricane-masculino-250ml;7899674031525
DESODORANTE AEROSOL DOVE GO FRESH ROMÃ E VERBENA 150ML;R$17,74;R$20,87;https://www.ultrafarma.com.br/desodorante-aerosol-dove-go-fresh-roma-e-verbena-com-89-gramas;7791293033266
DESODORANTE AEROSOL NIVEA MASCULINO DEEP CARVÃO ATIVADO ORIGINAL 48H 150ML;R$15,08;R$16,76;https://www.ultrafarma.com.br/desodorante-aerosol-nivea-masculino-deep-carvao-ativado-original-48h-150ml;4005900707536
DESODORANTE AEROSSOL ADIDAS MASCULINO DRY POWER COOL & DRY 72H 150ML;R$12,24;R$13,60;https://www.ultrafarma.com.br/desodorante-aerosol-adidas-masculino-dry-power-cool-dry-72h-com-150ml;7892940000324
DESODORANTE AEROSOL REXONA CLINICAL MASCULINO SPORT 150ML;R$16,50;R$19,41;https://www.ultrafarma.com.br/desodorante-aerosol-rexona-clinical-masculino-sport-150ml;7891150068735
DESODORANTE AEROSSOL ABOVE DOLCE VITA FEMININO 150ML;R$9,65;R$12,06;https://www.ultrafarma.com.br/desodorante-aerosol-above-dolce-vita-feminino-150ml;7899674026989
DESODORANTE AEROSOL GIOVANNA BABY LILAC 150ML;R$13,02;R$16,27;https://www.ultrafarma.com.br/desodorante-aerosol-giovanna-baby-lilac-150ml;7896044942009
DESODORANTE AEROSSOL REXONA MASCULINO XTRACOOL 150ML;R$15,20;R$17,88;https://www.ultrafarma.com.br/desodorante-aerosol-rexona-masculino-xtracool-com-150ml;7791293022581
DESODORANTE AEROSSOL TABU LINDA 150ML;R$9,96;R$11,07;https://www.ultrafarma.com.br/desodorante-aerosol-tabu-linda-com-150ml;7896049508712
DESODORANTE AEROSSOL REXONA MASCULINO IMPACTO 150ML;R$15,20;R$17,88;https://www.ultrafarma.com.br/desodorante-aerosol-rexona-masculino-impacto-com-150ml;7891150054646
DESODORANTE AEROSSOL BOZZANO MASCULINO DRY 150ML;R$10,40;R$11,56;https://www.ultrafarma.com.br/desodorante-aerossol-bozzano-masculino-dry-150ml;7891350037791
DESODORANTE ANTITRANSPIRANTE AEROSOL REXONA FEMININO COTTON DRY 150ML;R$15,20;R$17,88;https://www.ultrafarma.com.br/desodorante-antitranspirante-aerosol-rexona-feminino-cotton-dry-150ml;7791293032467
DESODORANTE AEROSSOL BOZZANO MASCULINO EXTREME 150ML;R$10,40;R$11,56;https://www.ultrafarma.com.br/desodorante-aerosol-bozzano-masculino-extreme-com-90ml;7891350032857
DESODORANTE AEROSSOL REXONA MASCULINO V8 150ML;R$15,20;R$17,88;https://www.ultrafarma.com.br/desodorante-aerosol-rexona-masculino-v8-com-150ml;7791293022567
DESODORANTE AEROSSOL ABOVE MAXX ENERGY MASCULINO 250ML;R$15,48;R$19,35;https://www.ultrafarma.com.br/desodorante-aerossol-above-maxx-energy-masculino-250ml;7899674031495
DESODORANTE AEROSOL REXONA FEMININO BAMBOO 90G;R$15,20;R$17,88;https://www.ultrafarma.com.br/desodorante-aerosol-rexona-feminino-bamboo-com-90g;7791293032498
DESODORANTE AEROSOL OLD SPICE LENHA 200ML;R$18,64;R$20,71;https://www.ultrafarma.com.br/desodorante-aerosol-old-spice-lenha-com-150ml;7500435143226
DESODORANTE AEROSSOL REXONA MASCULINO ANTIBACTERIAL INVISIBLE 150ML;R$15,20;R$17,88;https://www.ultrafarma.com.br/desodorante-aerosol-rexona-masculino-antibacterial-invisible-com150ml;7506306244184
DESODORANTE AEROSSOL BOZZANO MASCULINO SEM PERFUME 150ML;R$10,40;R$11,56;https://www.ultrafarma.com.br/desodorante-aerosol-bozzano-masculino-sem-perfume-com-90g;7891350032406
DESODORANTE AEROSSOL DOVE MEN CARE SEM PERFUME 150ML;R$17,30;R$20,35;https://www.ultrafarma.com.br/desodorante-aerosol-dove-men-care-sem-perfume-com-150ml;7791293014838
DESODORANTE AEROSSOL DOVE SENSITIVE SEM PERFUME 150ML;R$17,42;R$20,49;https://www.ultrafarma.com.br/desodorante-aerosol-dove-sensitive-sem-perfume-com-150ml;7791293033273
DESODORANTE AEROSSOL ABOVE MAXX CANDY FEMININO 250ML;R$15,48;R$19,35;https://www.ultrafarma.com.br/desodorante-aerossol-above-maxx-candy-feminino-250ml;7899674031310
DESODORANTE AEROSSOL MONANGE LAVANDA 150ML;R$10,40;R$11,56;https://www.ultrafarma.com.br/desodorante-aerosol-monange-lavanda-com-150ml;7891350034622
DESODORANTE AEROSSOL DOVE FEMININO CUIDA E PROTEJE 150ML;R$19,41;R$22,83;https://www.ultrafarma.com.br/desodorante-aerosol-dove-feminino-powder-soft-com-150ml;7791293033242
DESODORANTE AEROSOL BIS HERBÍSSIMO MASCULINO SNOW MOON 150ML;R$11,56;R$12,84;https://www.ultrafarma.com.br/desodorante-aerosol-bis-herbissimo-masculino-snow-moon-com-150ml;7896049527782
